player_id,days_since_last_login,avg_session_duration,weekly_login_frequency,social_interactions,game_progress,recent_spending,churn
9000,24,109.9047619047619,5.653846153846153,0,28.57142857142857,0,1
9001,23,148.41176470588235,4.76,0,23.52941176470588,0,1
9002,11,141.4909090909091,15.4,0,18.181818181818183,0,0
9003,31,86.11428571428571,9.423076923076923,0,11.428571428571429,0,1
9004,6,118.42857142857144,2.722222222222222,0,28.57142857142857,0,0
9005,24,79.25,2.4347826086956523,0,12.5,0,1
9006,27,60.0,1.75,0,0.0,0,0
9007,30,47.30769230769231,10.11111111111111,0,23.07692307692308,0,1
9008,15,99.15,5.384615384615384,0,40.0,0,1
9009,3,93.06382978723404,12.185185185185183,0,23.404255319148938,0,0
9010,5,91.9,8.076923076923077,0,3.333333333333333,0,1
9011,17,122.92857142857144,14.51851851851852,0,19.642857142857142,0,1
9012,22,21.41176470588235,9.153846153846152,0,2.941176470588235,0,1
9014,6,43.064516129032256,8.037037037037036,0,9.67741935483871,0,0
9015,20,156.7941176470588,8.814814814814815,0,20.588235294117645,0,1
9016,10,154.32692307692307,13.48148148148148,0,21.15384615384616,0,0
9017,25,132.5,2.8,0,12.5,0,1
9018,3,134.16666666666666,3.230769230769231,0,25.0,0,0
9019,23,54.5,4.666666666666667,0,31.25,0,1
9020,11,175.125,2.1538461538461537,0,12.5,0,0
9021,22,160.32203389830508,15.296296296296296,0,25.42372881355932,0,1
9022,23,119.0,2.1538461538461537,0,0.0,0,1
9023,24,115.22222222222224,11.666666666666666,0,13.333333333333334,0,1
9024,19,161.86046511627907,11.148148148148149,0,13.953488372093023,0,1
9025,19,78.35714285714286,4.454545454545455,0,21.428571428571427,0,1
9026,8,116.4,12.6,0,17.77777777777778,0,0
9027,10,173.26415094339623,13.74074074074074,0,18.867924528301888,0,0
9028,10,54.76470588235294,13.73076923076923,0,11.76470588235294,0,0
9029,9,159.0,1.1666666666666667,0,0.0,0,0
9030,11,66.41666666666667,3.36,0,16.666666666666664,0,1
9031,24,68.22222222222223,5.04,0,16.666666666666664,0,1
9033,14,45.79166666666666,18.666666666666668,0,19.444444444444446,0,0
9035,2,166.2295081967213,15.814814814814817,0,19.672131147540984,0,1
9036,6,27.48,20.19230769230769,0,25.333333333333336,0,0
9037,30,62.25396825396825,16.333333333333332,0,15.873015873015872,0,1
9038,23,111.3170731707317,10.62962962962963,0,0.0,0,1
9039,9,110.83333333333331,3.5,0,16.666666666666664,0,0
9040,21,42.10714285714285,14.51851851851852,0,19.642857142857142,0,1
9041,18,144.3125,4.666666666666667,0,25.0,0,1
9042,3,63.0,14.56,0,28.846153846153843,0,0
9043,7,112.74358974358974,10.92,0,30.76923076923077,0,0
9044,19,147.8,12.115384615384617,0,17.77777777777778,0,1
9045,3,64.578125,16.59259259259259,0,31.25,0,1
9046,30,175.2280701754386,14.777777777777777,0,17.543859649122805,0,1
9047,6,28.75,3.65217391304348,0,16.666666666666664,0,0
9048,14,74.80882352941177,17.62962962962963,0,19.11764705882353,0,0
9049,17,95.03125,8.615384615384615,0,12.5,0,1
9050,25,147.58333333333334,3.36,0,25.0,0,1
9051,29,43.36666666666667,7.777777777777778,0,23.33333333333333,0,1
9052,10,135.74074074074073,8.217391304347826,0,29.629629629629623,0,0
9053,4,63.75,1.5555555555555554,0,25.0,0,0
9054,20,172.0212765957447,12.185185185185183,0,17.02127659574468,0,1
9055,14,46.333333333333336,7.777777777777778,0,0.0,0,0
9056,21,136.60714285714286,7.538461538461538,0,21.428571428571427,0,1
9057,14,34.36206896551724,15.615384615384617,0,20.6896551724138,0,0
9058,6,146.11363636363637,11.846153846153843,0,29.545454545454547,0,0
9059,11,153.82857142857142,9.074074074074074,0,25.71428571428571,0,0
9060,2,136.12820512820514,10.5,0,23.07692307692308,0,0
9061,30,155.15,16.153846153846153,0,16.666666666666664,0,0
9062,18,93.625,2.4347826086956523,0,25.0,0,1
9063,20,141.50943396226415,13.74074074074074,0,18.867924528301888,0,1
9064,17,15.0,1.2173913043478262,0,25.0,0,1
9065,26,135.02,12.962962962962962,0,20.0,0,1
9066,7,43.79166666666666,6.461538461538462,0,20.833333333333336,0,0
9067,11,42.892857142857146,7.84,0,32.142857142857146,0,0
9068,23,30.21153846153846,13.48148148148148,0,28.846153846153843,0,1
9069,9,166.33928571428572,14.51851851851852,0,26.785714285714285,0,0
9070,15,78.1086956521739,11.925925925925926,0,23.91304347826087,0,1
9071,1,108.0,7.269230769230769,0,18.51851851851852,0,0
9072,24,78.33333333333333,7.0,0,22.22222222222222,0,1
9073,22,129.7948717948718,10.11111111111111,0,17.94871794871795,0,1
9074,16,107.38709677419357,16.692307692307693,0,17.741935483870968,0,1
9075,10,107.08,13.461538461538462,0,22.0,0,1
9076,13,29.27272727272728,4.277777777777778,0,9.090909090909092,0,0
9078,29,72.78571428571429,11.307692307692308,0,30.95238095238096,0,1
9079,17,12.210526315789474,10.23076923076923,0,13.157894736842104,0,1
9080,9,146.5,1.647058823529412,0,0.0,0,0
9081,28,31.38636363636364,11.407407407407408,0,15.909090909090908,0,1
9082,26,76.65,5.6,0,15.0,0,1
9083,19,38.71739130434783,11.925925925925926,0,19.565217391304348,0,1
9084,30,102.671875,16.59259259259259,0,23.4375,0,1
9085,4,120.1875,4.307692307692308,0,31.25,0,0
9086,17,119.83333333333331,4.0,0,41.66666666666667,0,1
9087,12,14.705882352941176,18.307692307692307,0,16.176470588235293,0,1
9088,14,146.71428571428572,9.074074074074074,0,14.285714285714285,0,0
9089,8,106.72413793103448,8.458333333333334,0,34.48275862068966,0,0
9090,23,35.892857142857146,14.51851851851852,0,16.071428571428573,0,1
9091,18,71.5,1.75,0,25.0,0,1
9092,24,12.5,7.2592592592592595,0,25.0,0,1
